Sentiment,SentimentText,Index
0,                     is so sad for my APL friend.............,0
0,                   I missed the New Moon trailer...,1
0,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...,2
0,         i think mi bf is cheating on me!!!       T_T,3
0,         or i just worry too much?        ,4
0,       Sunny Again        Work Tomorrow  :-|       TV Tonight,5
0,      I must think about positive..,6
0,      this weekend has sucked so far,7
0,     jb isnt showing in australia any more!,8
0,     ok thats it you win.,9
0,    &lt;-------- This is the way i feel right now...,10
0,"    awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX",11
0,    HUGE roll of thunder just now...SO scary!!!!,12
0,    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.,13
0,    Very sad about Iran.,14
0,    wompppp wompp,15
0,   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*,16
0,   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!,17
0,   BoRinG   ): whats wrong with him??     Please tell me........   :-/,18
0,   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.,19
0,"   Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. ",20
0,   I didn't realize it was THAT deep. Geez give a girl a warning atleast!,21
0,   I hate it when any athlete appears to tear an ACL on live television.,22
0,   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today,23
0,  -- Meet your Meat http://bit.ly/15SSCI,24
0,   My horsie is moving on Saturday morning.,25
0,   No Sat off...Need to work 6 days a week ,26
0,   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay,27
0,"   SOX!     Floyd was great, but relievers need a scolding!",28
0,   times by like a million,29
0,   what type of a spaz downloads a virus? my brother that's who :\ MSN is now fucked forever    :'(,30
0,  &amp;&amp;Fightiin Wiit The Babes...,31
0,  *enough said*,32
0,  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now,33
0, - All Time Low shall be my motivation for the rest of the week.,34
0,"  and the entertainment is over, someone complained properly..   @rupturerapture experimental you say? he should experiment with a melody",35
0,  another year of Lakers .. That's neither magic nor fun ...,36
0,  baddest day eveer. ,37
0,  but i'm proud.,38
0,  congrats to helio though,39
0,  David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert. ,40
0,  friends are leaving me 'cause of this stupid love  http://bit.ly/ZoxZC,41
0,  Hand quilting it is then...,42
0,  hate u ...  leysh t9ar5 ... =((((((( ..,43
0, - I love you guys so much that it hurts. http://tumblr.com/xkh1z19us,44
0,  I miss Earl,45
0,  I miss New Jersey,46
0,"  I missed the first hour of SYTYCD last night, and I can't find it online!",47
0,  I need a U2 fix NOW!,48
0,  I never thought I'd become second choice...,49
0,  I think I may be too friendly...lol... o well...,50
0,  I think Manuel (my Basil plant) only has days to live   ,51
0,  I wanna be at home @ church...I wonder wht they are doing?,52
0,  i wanna make my own pizza,53
0,"  i want a 120gb harddrive, or a 37 inch tv, or a new guitar.  anyonefeeling generous?  =p   x",54
0,  i want a hug,55
0,  I want Miley to tour Australia,56
0,  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels,57
0,  i was too slow to get $1 Up tix,58
0,"  I will send sunshine to Northern Ireland, are you going swimming today @kezbat",59
0,  I wish I could go to T4 On The Beach :'(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather   ,60
0,"  i would be so much happier if the walls of my bedroom were painted white,",61
0,  idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall,62
0,  I'm finding the intercept slope..and banging my head against the wall..Math brain heads come save me,63
0,  im sick  'cough cough',64
0,  in cab headed to the airport!  going home.... &lt;christy&gt;,65
0,  In case I feel emo in camp (feeling a wee bit of it alr)...am bringing in the Human Rights Watch World Report 2009..hope it'll work,66
0,  jonas day is almost over... ,67
0,  Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.,68
0, - Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6,69
0,  mi momacita won't let me go to my bf's bball game!!! grrr!!!,70
0,  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....,71
0,  My new car was stolen....by my mother who wanted to go pose at church.,72
0,"  no hang out with the girls 2day. 2moro, hope so......",73
0,  no movie times for sunday!  Rats will have to plan tomorrow. I guess this means I have to work on those two  presentations I am doing!,74
0,  no pavel tonight &lt;Tigersfan &gt;,75
0,  not a cool night.,76
0,  probably guna get off soon since no one is talkin no more,77
0,  really wanted Safina to pull out a win &amp; to lose like that...,78
0,"  RIP, David Eddings.",79
0, - sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8,80
0,  so whats the status on next weekend,81
0,  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade,82
0,  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.,83
0,"  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad.",84
0,  u guys knw whyy,85
0,  very much so ,86
0,  waahhh now I'm getting sad....miss hub :-'(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;,87
0,--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --,88
0,"  Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!",89
0,  where is my picture i feel naked ,90
0,  Why aren't there any trains going to manchester on a sunday?!!  Now I can't go to the @jonasbrothers concert.,91
0, - Why must people be so picky. I mean 6 hours work and no dice!? whatï¿½s up with that! http://tumblr.com/xsg1m3ufn,92
0,  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp,93
0, - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly,94
0,  you'll always be my one and only...  [12*23*2007],95
0, #3turnoffwords this shit sucks,96
0, #asylm J2 panel is over. Guess it's back to normal life.,97
0, #squarespace brighten my bad day! i never win anything...,98
0," #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!",99
0, #twenty20,100
0, &lt;3 GrAdUaTE 09&lt;3,101
0," &quot; Vandals paint swastikas on home of author of gay, lesbian church story : Naples Daily News&quot; ( http://bit.ly/11zyzl )",102
0, &quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far ,103
0, &quot;experts (homers) predict Eagles to go 12-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343,104
0, &quot;I want you so bad it's driving me  mad&quot;,105
0, &quot;Try to turn on my tv to get you out of my head. I've got this feeling inside that I just won't admit...&quot; (that is literally how I feel),106
0," &quot;well, the truth is I miss you so&quot;- Coldplay",107
0, (tears) :'-( Today is the last day with my kids...They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86,108
0, (unsure) (annoyed) http://plurk.com/p/1230lz,109
0, (via @designrelated) are designed gallery exhibition postcards/mailers going extinct? via NYT http://ow.ly/fHJc,110
0, *BeautifulyLost,111
0,- *cries* I'm going to miss Harry Potter when it comes out.  I'm leaving to Vietnam on July 11th.  I'm going to cry!!,112
0," . . . . going back to bed, because I'm lookin' around and don't see a reason to be awake atm. Be up in a little.",113
0, .. i wantt hiim soo badd !!,114
0," .. watching tv , bed, shopping w. mom, out w. trent hopefully, i need my best friend",115
0, ... had weird encounters with so many homeless/creeps on the walk home tonight all by myself   awesome... really...,116
0, ... Rained out truck race,117
0, ... Why am I feeling worse??? F!!!,118
0, .... Feeling pain and happiness at the same time. How confusing!,119
0, ....in a shirt and panties. celulite,120
0, ..had to turn back to North due to body on line. So missing Design Council Design 4 Tech Transfer event   http://bit.ly/pXrzV...,121
0, ..y everything is so hard? :/,122
0, .bueno good bye. good night,123
0," : Let's have fun,. When I give ya what I give ya.",124
0, :[ I don't want to move!!!,125
0, @ the train crash in DC .....,126
0, @alvinkschneider what happened to angels and demons and lions and tigers and bears!?,127
0, @AmericanWomannn Well that sure minimizes the impact...LOL,128
0,"- @Darcy_Lussier @lkrammes I went to work once last year with no pants. Ironically, that was my last day of work at that job. FML ",129
0, @dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/18sjXI http://bit.ly/KEAy2,130
0,- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies  Btw I'm Elliott from @angryfeet - blame @howlieT for the Twitter intrusion,131
0," @emilymariie why didnt you come to school?? have you done the short stack thing by yourself, or do you still need me?",132
0,"- @EvertB which one? http://bit.ly/10o8LW, http://bit.ly/Nh82S or http://bit.ly/wr8Vz - latter for the US Store only  #iphone #comics",133
0, @georgediaz #Magic ..thinking less than 50 % chance Hedo stays in Orlando. He's gonna go for the $$. They all do. Can't blame him though.,134
0, @Glamicole ..now who wud make this beautiful plc cry?,135
0, @HaterMagazine: @damienrandle it is now the outer fat kid.,136
0," @hellopnsdear se MORREA a mi Joseph, no no se vale.",137
0, @jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!,138
0,- @JuicyJones I know.. SOLD OUT though. ,139
0, @katiedontcry should get on aim and talk to me. i miss her.,140
0, @kvetchingeditor's kashrut convo makes me want to keep more kosher but my roomies catholic &amp; he has a pork loin in the fridge #kosherFAIL,141
0, @Leloz isn't home neither is @sozi1 ... @althani96 U BETTER HAVE IT!!!,142
0,"- @littlecharva - I'm immune to dentists' drills etc now, it just doesn't bother me at all. Having gum lift surgery next week tho *eek* ",143
0, @lolife4life where r u tonite im still awake!,144
0, @lorinimus hates Bebot App,145
0, @Oneshine What are u referring to?,146
0, @plmusic22,147
0,                                     I miss her so much already...,148
0,               just practising.....how I feel       ,149
0,            Miss my love Jamie,150
0,          FUCK YOU!,151
0,        my head feels like a bowling ball,152
0,        my heart hurts badly...,153
0,       FS keeps crashing when I try to load Bungie plane.,154
0,      My current headset is on its deathbed now!  My dad gave it to me just 3 weeks back!    ,155
0,     ....    My mood is currently BLAH . Sitting in a parking lot,156
0,    ...that is all.,157
0,    everyone went home. and not everyone was even here! ~CMF &lt;3,158
0,    fed up....,159
0,"    fuck, fuck, fuuuuck!",160
0,"    Not feeling it today     And to make matters worst its super nasty and rainy outside, YUCK!",161
0,   @Beansummer,162
0,"   Awwwwwh  i wanted Aiden Davis 2 WIN, i &lt;3 him so bummed he didnt ",163
0,   bed time now....,164
0,"   Friends like these ... no thanks, I'm not fake! ^ ^",165
0,   i think my bf is cheating on me!!!!     ,166
0,   i want an octo drive,167
0,"   I want to display my pretty voltron!  Upside, I get two pretty voltrons!",168
0,   i want to find a way to put my photos on phone here i have Bluetooth in both phone and computer but it doesn't work,169
0,   IN an effort to bring you the best content we just added at lease 30 hours to the release of The digital Rapture.  soon... hang tight,170
0,  --- is our response to what happened today. and that is all.,171
0,"   J, you are right... it hurts.",172
0,"   kinda but not really, but kinda ",173
0,"   let's have a moment of silence for our childhood homes... sadly, it can't be replaced and we can never go back",174
0,"   No man is worth your tears, and the one that is won't make you cry!",175
0,   rain rain go away!,176
0,   storms are scary!,177
0,   Tell those girls your clocking out lol,178
0,   the batt to my internet connection died.  Guess its back to the mobile!,179
0,   www.apple.com/iphone now has it for the 18th   ,180
0,  #squarespace #trackle  no apple iphone card for us  maybe tomorrow! I guess it helps if you tweet it huh?  We forgot ,181
0,  (unsure)  (hassle)  (:  (music) http://plurk.com/p/yq08l,182
0,                                           exhausted,183
0,          i want some ben&amp;jerrys cake batter please ugh,184
0,"        wish ella was on or somebody,,,,",185
0,      i think i'm going to go 3 a long drive then when i get to the pacific ocean open my car door and throw my pc in the ocean,186
0,      what the hell BBC?,187
0,     #canucks,188
0,     I dont like this weekend.. Huhuhu ( (,189
0,     I'll get on it right away!,190
0,    ...lonely night,191
0,    blue does not work      ,192
0,    geez I'm feeling their pain,193
0,    i miss my summertime daley.,194
0,"    on the computer ... . . . . . . *ill*    lol,       no fuckin goin to portugal        ",195
0,    UGHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,196
0,   #Battleground,197
0,   Awwwwwh  i wanted Aiden Davis 2 WIN  i &lt;3 him so bummed he didnt ,198
0,   Curtain drops at the Crown Uptown after 32 ye http://www.kansas.com/news/featured/story/860875.html,199
0,   eh  must leave New Mexico and soon!,200
0,   fail maths  i knew it i was just too slow ,201
0,"   From Gongwer OH Report, sounds like leadership still considering library cuts, not considering tax increases. #saveohiolibraries",202
0,   fuck sake. Why can things never work out for me?,203
0,"-   going in town todaÑ‡ with mÑ‡ cousinnn, [Ñ‡]     netball match was cancelledd ",204
0,   hoping to see my baby girl,205
0,   i don't even know.,206
0,   I just lost a member of my family ,207
0,   I'm SICK of bedtime battles   ,208
0,   i'm so cold this morning......       i have chills all over.....   ,209
0,   Just... ,210
0,   No no no. Tonight goes on the books as the worst SYTYCD results show.,211
0,   no shopping   ,212
0,"  - Poor lil mousey, just out enjoying the sunny day. I don't think I'd feel so bad if it was a big gnarly rat though. Dbl standard? Yep.",213
0,  -- that's an EPIC sad face.,214
0,   This magazine story just broke my heart at the dentist's office today:  http://tinyurl.com/ngbq2c,215
0,   wanna go meet wifey but can't....  this sux   :'(,216
0,   Wondering why I feel like I do...I'll feel better though...Its all good! I'll be happy inspite of...Tweet ya lata ,217
0,  #IranElection - no one realizes how deep this goes.,218
0,  &gt;. Bodies from Air France crash have been found  http://twurl.nl/dvu8be (via @Paisano ),219
0,"  &lt; that is the story of my life, a whole bunch of frownies!",220
0,               I HAVE NOOOOOOOOOO FRIENDS ON TWITTER IT MAKES ME SAD WILL SOMEONE FOLLOW ME      ,221
0,             i just want to hear from you. i guess that's asking too much..,222
0,       i really2 don't like this condition. sucksssssss,223
0,"       Orlando Lost  The Series. Oh Well, Maybe Phoenix, Or Boston, Or Cleveland (The Teams I Like) Will Make It Next Year!",224
0,      rinitis sucks!!!!!,225
0,     &gt;( &gt;(  i'm mad and sad right now. Played so terrible today in both soccer and basketball.,226
0,     &lt;- but mustache man is not that desperate,227
0,     &lt;--------- my face because i'm missing zoro tonight.,228
0,     @riceuniversiity I know huh @Kouture85 Im bout to cry@Ahmier thanks Marco! *muah*,229
0,     angry,230
0,     sry matt 2 hear that (,231
0,     what the fucccckkkkkkkkkk,232
0,    Bye World!!!!!!,233
0,    i couldnt even have one fairytale night,234
0,    I'll be working when Pottercast/Lupins/Willows come near me.  FAIL.,235
0,"    My cell phone screen is dead.  Sooooooooooo, no texts and I don't know who's calling.  Fuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuck",236
0,"    NO MORE SICKNESS. strike i say STRIKE! ohhhh well, 'nother day off school i guess",237
0,    Nobody likes Year One in the reviews I've read. I'm disappointed. But maybe now I'll like it more since I'm not expecting much..,238
0,   (must i say more?),239
0,   *old me's dead and gone*,240
0,   ... have to go now ??? 13 more minutes   ... please please please,241
0,   awwwww i really hate this.,242
0,   bad day.,243
0,   bad day.....damn you @311. What kind of ticket sale was that.....,244
0,   Boston Globe could be shut down in 60 days http://sbne.ws/r/vWc,245
0,   bye guys!!!! i'ma miss ya'll sooo sooo much! but don't worry i'll be back on monday!!! have an awesome weekend!!! peace!!!!,246
0,   can i have some followers :' ( ... i'm so sad...    NOW THAT I'M LOSING HOPE -pressure,247
0,   Couldn't bless'd da mic w/ my bra's in music 2day @ERiceOnTheBeat @moneybagzfam1st @circustk,248
0,   CRY CRY CRY   ,249
0,   F**kn day...,250
0,   Goodnight   ,251
0,   grandma is very sick. not doing well. going to the emergency room.,252
0,   I am going to shed tears if the Cavs have to go home tonight. Like seriously,253
0,   i am soooo sad...at this point of night i'd be cuddling with jonathan like i did for 4 years,254
0,   I hate you forever.,255
0,   i missed it,256
0,   i still Feel like a Douchebag,257
0, @sommacolada never answering my im's,258
0, @squarespace it's now fathers day and you haven't picked me...yet. I kind of want to incessantly bother you...#squarespace,259
0, @TheIanCrawford is no longer in the Cab. To say I'm heartbroken is an understatement... good luck with everything! you're amazing ian.,260
0, @va_songstress broke my twitter..,261
0, @warbo is off clubbing... must come over to sheffield sometime &amp; party but really probably shouldn't atm. a tech conference is a conf etc,262
0, @xxkirahxx is fulfilling my life's ambition 2 go 2 a Jonas Brothers concert + I went 2 HMV and the new album is already sold out! Why me?,263
0, @zochula just yelled at me for picking apple store over food.,264
0, 1 of me cats kittens died only 3 days old too..RIP ming.,265
0, 1 week before the palm pre comes out and my centro dies. I have a temp phone but my contacts aren't transfered yet. #sadpanda #fb,266
0, 3 hrs on da phone...lol dude is hilarious,267
0, 5 gb of video to upload to utube :O dam sony vegas making it so big ,268
0, 50% of the new footwear labeling norm is definitions that are never referred to in the document. Who wrote this up?,269
0, a big angry spider was crawling in my blankeys  i flicked it to the floor and cant sleep now,270
0,- a couple years of sickness all piled up to this one day ,271
0," a fly just landed in my green chile stew. i've never been big on killing bugs, but this asshole asked for it. There goes my appetite",272
0, A_ just got the same handshake in her meeting. Vibe here sucks,273
0,  (Jonah:whats a tweet!?) SHARON!!!!!!!!!!!!,274
0,  alice is beating be at my scooby doo board game!,275
0,  anyone have any advice on how to cope with a break up?,276
0,"  arrrrrrrgggggggghhhhhhhh!!!!!!!!!!  that's it, all lines of communications are temporarily suspended! ",277
0,  but i understand.,278
0,  cars being inspected today gonna cost me over 600 dollars ,279
0,  e is OUT!,280
0,  everythings wrong.,281
0,  Exercise 2 build muscle mass is only thing that speeds metabolism: http://tinyurl.com/bvagbj,282
0,  friends dying is just horrible.,283
0,  He was the best there.,284
0,  Hungover........ and craving chocolate! OMG how funny was the pub last night!! LOL,285
0,  I dont want my sister to leave me for the whole summer!,286
0,  i hope everyone is at church so i can just go to my concert in peace on wed.  dont have to worry about rushing back to church to visit,287
0, - i just spilt the last of my jordans cereal on the floor iâ€™m distraught http://tumblr.com/xxw2329lh,288
0,  I miss my family and friends.,289
0,  I see I missed the nectar sucking dirty talk ;),290
0,  I want a freaking puppy now! A cute little black yorkshire terrier.,291
0, - I want irissa back http://tumblr.com/xpn1wrj48,292
0,  I'm glad diversity got through...but what about stavros!  ,293
0,  I'm out of Nutella  ,294
0,  is it rlly tht serious? I'm abt to go thru my fonebook...,295
0,  it is on environmental studies and driving me mental,296
0,  I've always seen bits &amp; pieces of Shottas. now I've seen the whole movie...it ends sooooo sad   I'm gonna cry.  ,297
0,  Just found a bone in my chicken nugget    Not cool,298
0," - Like I said, my back still fucking hurts and Iâ€™m going to complain about it like no oneâ€™s business.... http://tumblr.com/x6n25amd5",299
0,  my aunties dog is getting put down  hes my dogs brother aswell ,300
0," - my head feels like its going to explode - mmm, what a horrendous image... the mess!",301
0,  my head is killing meee,302
0," - My name is Amy. Iï¿½m only three My eyes are swollen I cannot see, I must be stupid, I must be bad What... http://tumblr.com/xfj1uain0",303
0," - my picture with Kris Karmada is gone forever, its not in my comments, on my mysapce or on my... http://tumblr.com/xzg1wy4jj",304
0, Â«Confirmed: Missing Air France Flight 447 has Crashed in the AtlanticÂ»: http://bit.ly/BxdVL,305
0, about 1/4 of my myspace comments are gone. cause someone hacked onto wills account. and kept abusing others so he had to delete it.,306
0, about school....... it will all be over soon can't wait to celebrate            STRES till then,307
0, abt missing Air France plane. Follow here for best air news source:  http://tinyurl.com/m2p6yk,308
0, AFI are not at reading til sunday this sucks !!!!!!!!!,309
0," after a crap night was looking forward to being cheered up, but no. Never mind.",310
0, ah the postman didn't have my package. What am I goon to do for the rest of the day.....,311
0," Airport Express doesn't rock enough to allow wireless scanning with the Canon pixma MX310, but otherwise it's wireless goodness.",312
0," Alistair's friends are all in the kitchen and I'm in my pjs...I JUST WANT A CUP OF TEA, DAMMIT!",313
0, all day.. no play.,314
0, all dressed up and no bicyclist for Monday nite ride n Henderson KY http://bit.ly/10H4ne,315
0, all I want is my ma in my arms  that's all I want is you in my arms,316
0, all my friends are gone haley n katie @ camp Paris @ moms Landin n Ayonna @ aunts n moms im so bored,317
0, all nighter. yeeeeeeeeeeeessshhhh what a nightmare up coming 2 weeks. cannot wait to graduate!,318
0," All those Non-Robsten posts are making me sad. I mean, I knew that, but to see it from others in words. So sad.",319
0, allison didnt win. She should have.,320
0, almost time to leave.,321
0, already getting sleepy...I really want to get my psych quizzes done tonight...,322
0," am i losing my mind cause i wanna see my.TC on TV right now, this min? FU2 i want 2see CandyGirls!! not Daisy -dammit!! @iluvTerricka",323
0, am sad to say i didn't get my results today somehow the school forgot to mail my results to me?? Typical. Ugh,324
0, And how can you mend a broken heart?   â™« http://blip.fm/~8k7kl,325
0, and I think that's why I felt really sick and depressed in school today cuz of all the stress.. I'm glad I got that off my chest :/,326
0, and i was just starting to get confident in myself! you have torn me down!,327
0, another 45 mins....,328
0, another early day,329
0, another father's day weekend I don't get to spend with my dad..,330
0, anticipating a tough day ahead,331
0, anyone know if Ghostbusters is region free on 360?? and where to get a US copy in Britain if it is,332
0, - ?oVe&lt;33,333
0,  6:30...what's wrong wit it?,334
